Handle;Title;Body (HTML);Vendor;Product Category;Type;Tags;Published;Option1 Name;Option1 Value;Option2 Name;Option2 Value;Option3 Name;Option3 Value;Variant SKU;Variant Grams;Variant Inventory Tracker;Variant Inventory Policy;Variant Fulfillment Service;Variant Price;Variant Compare At Price;Variant Requires Shipping;Variant Taxable;Variant Barcode;Image Src;Image Position;Image Alt Text;Gift Card;SEO Title;SEO Description;Google Shopping / Google Product Category;Google Shopping / Gender;Google Shopping / Age Group;Google Shopping / MPN;Google Shopping / Condition;Google Shopping / Custom Product;Google Shopping / Custom Label 0;Google Shopping / Custom Label 1;Google Shopping / Custom Label 2;Google Shopping / Custom Label 3;Google Shopping / Custom Label 4;Variant Image;Variant Weight Unit;Variant Tax Code;Cost per item;Included / France;Price / France;Compare At Price / France;Included / International;Price / International;Compare At Price / International;Included / Union europeenne;Price / Union europeenne;Compare At Price / Union europeenne;Status
pretty-love-arthur-vibrator-purple;PRETTY LOVE ARTHUR VIBRATOR PURPLE;"<p data-mce-fragment=""1"">rthur est un vibromasseur élégant et de haute qualité avec stimulation du clitoris. Il a une double stimulation. Ressentez les vibrations profondes à l'intérieur tout en stimulant votre clitoris.</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">7 modes de vibrations différents.</li>
<li data-mce-fragment=""1"">3 types d'agitation</li>
<li data-mce-fragment=""1"">Stimulateur du point G</li>
<li data-mce-fragment=""1"">100% silicone. Approuvé par la FDA</li>
<li data-mce-fragment=""1"">Ergonomique</li>
<li data-mce-fragment=""1"">Silencieux.</li>
<li data-mce-fragment=""1"">Mesures: 20 cm x 2,8 cm.</li>
<li data-mce-fragment=""1"">Les piles ne sont pas incluses (2xAA)</li>
<li data-mce-fragment=""1"">Sac à sauvegarder et transport inclus.</li>
<li data-mce-fragment=""1"">Couleur: violet et blanc</li>
</ul>
<p data-mce-fragment=""1"">Pretty Love fabrique des produits avec des normes de qualité élevées. Tous leurs produits sont conçus en EEUU et bénéficient d'une garantie d'un an sur les défauts techniques.</p>";PRETTY LOVE;;Stimulateur vaginal externe et interne;;VRAI;Title;Default Title;;;;;;150.0;shopify;deny;manual;38.28;;VRAI;VRAI;'6959532311761;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_30832_13b62b8b530a8d88804d8bda4768909b_1.jpg?v=1696801907;1;;FAUX;;;;;;;;;;;;;;;g;;;VRAI;;;VRAI;;;VRAI;;;active
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_18253_385d4353c3679a33a1efcf3269ee3e1e_1.jpg?v=1696801907;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_18254_2901e1a6b3f6add7d122e610d004f11a_1.jpg?v=1696801907;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_18255_54cef2d4b63977f25bcf14f91807f170_1.jpg?v=1696801907;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_30828_8fc46878e52ecb14cd18d55fed8934e1_1.jpg?v=1696801907;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_30829_061e2b0ff8400d7d7cdbec1af3be024d_1.jpg?v=1696801907;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_30830_de23274859822a1771d134de7baffc33_1.jpg?v=1696801907;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_30831_e6d0589702641f4985c6355516c20394_1.jpg?v=1696801907;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_30833_61b6039b87950faf0a94d15c0a53cfde_1.jpg?v=1696338911;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_30834_bcbaa6cf5c34c2b77d488e542a33ebcb_1.jpg?v=1696338911;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_30835_ddb3243bf5051c417423c8d9c9e6225b_1.jpg?v=1696338911;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pretty-love-arthur-vibrator-purple;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0781/4797/7543/files/img_48520_c5cab217b85eb2b233394fee1aa68ec6_1.jpg?v=1696338911;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
